trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1,05:52:00,05:52:00,0024,1,,0,0
1,05:54:00,05:54:00,0025,2,,0,0
1,05:56:00,05:56:00,0026,3,,0,0
1,05:58:00,05:58:00,0027,4,,0,0
1,06:00:00,06:00:00,0028,5,,0,0
1,06:02:00,06:02:00,0029,6,,0,0
1,06:04:00,06:04:00,0030,7,,0,0
1,06:06:00,06:06:00,0031,8,,0,0
1,06:09:00,06:09:00,0032,9,,0,0
1,06:12:00,06:12:00,0033,10,,0,0
1,06:17:00,06:17:00,0035,11,,0,0
1,06:19:00,06:19:00,0036,12,,0,0
1,06:22:00,06:22:00,0000,13,,0,0
1,06:24:00,06:24:00,0037,14,,0,0
1,06:26:00,06:26:00,0038,15,,0,0
1,06:30:00,06:30:00,0039,16,,0,0
1,06:32:00,06:32:00,0040,17,,0,0
1,06:34:00,06:34:00,0041,18,,0,0
1,06:35:00,06:35:00,0042,19,,0,0
1,06:36:00,06:36:00,0043,20,,0,0
